CNES;NOMEUBS;STS;CRS;PERC_ESF;EAB;AREA_KM2;PERIMETRO_KM;POP_2010;DOM_PP_2010;DENS_DEMOG_HAB_P_KM2;DENS_DOMIC
2786990;UBS DON LUCIANO BERGAMIM;PARELHEIROS;SUL;100;ESF_EXCLUSIVA;89,7865599077;87,711838167;1211;364,184425097118;13,487542024607;3,32523830385404
2786729;UBS AE CARVALHO;PENHA;SUDESTE;100;ESF_EXCLUSIVA;1,0930350595;5,39893188708;13019;3865,67144981085;11910,8713731062;3,36784958810636
2787229;AMA/UBS INTEGRADA JARDIM CAMPINAS;PARELHEIROS;SUL;100;ESF_EXCLUSIVA;35,2239261915;38,6385393155;16153;4686,20788322388;458,580338607964;3,44692348323385
2786869;UBS CASA VERDE ALTA;CASA VERDE / CACHOEIRINHA;NORTE;100;ESF_EXCLUSIVA;1,09104909849;7,28188102229;18374;5521,46883109732;16840,6719967318;3,3277377020615
2789310;UBS VILA COSMOPOLITA;GUAIANASES;LESTE;100;ESF_EXCLUSIVA;,649235332707;4,81810975585;9808;3046,12801984242;15107,0028168451;3,21982527855391
2787180;UBS JARDIM APURA;SANTO AMARO / CIDADE ADEMAR;SUL;100;ESF_EXCLUSIVA;3,43512541292;11,1540835478;9089;2644,97289080123;2645,9004861409;3,43633011574901
2030969;AMA/UBS INTEGRADA AMERICANËPOLIS;VILA MARIANA / JABAQUARA;SUDESTE;100;ESF_EXCLUSIVA;,921634863059;4,82374342417;24089;7186,06476702132;26137,2491054062;3,35218242264536
6018912;UBS JARDIM EMBURA;PARELHEIROS;SUL;100;ESF_EXCLUSIVA;37,5541878888;42,2745671225;4233;1181,91358061894;112,717122589207;3,58148012630777
6329527;UBS JARDIM DAS PALMAS;CAMPO LIMPO;SUL;100;ESF_EXCLUSIVA;1,00790151254;5,92750219598;17004;5110,24676186924;16870,6959841229;3,32743227330577
2788489;UBS RECANTO VERDE SOL;SAO MATEUS;LESTE;100;ESF_EXCLUSIVA;4,09508216613;12,7057086972;17634;4798,57249774443;4306,14070356121;3,67484288468891
2787369;UBS JARDIM ELIANE;CAPELA DO SOCORRO;SUL;100;ESF_EXCLUSIVA;2,60821539234;10,7459516637;31959;8965,48787226443;12253,2058103252;3,56466936940132
2789299;UBS VARGINHA;CAPELA DO SOCORRO;SUL;100;ESF_EXCLUSIVA;1,64809850999;6,30660519669;19827;5819,0085862886;12030,2274893267;3,40728144768829
3913007;CS ESCOLA BARRA FUNDA - ALEXANDRE VRANJAC;SANTA CECILIA;CENTRO;100;ESF_EXCLUSIVA;6,85563226355;15,0702117174;28793;11324,6950920827;4199,90438417861;2,54249670881909
2787199;UBS JARDIM ARACATI;M BOI MIRIM;SUL;100;ESF_EXCLUSIVA;1,54903759745;6,86490586419;11480;3204,51873815162;7411,05317191667;3,58244121444011
2752298;UBS JARDIM TIETE II;SAO MATEUS;LESTE;100;ESF_EXCLUSIVA;,704046098912;4,67681151929;8665;2615,47996102953;12307,4327283263;3,31296745878687
9986898;UBS ELISA MARIA II;FREGUESIA / BRASILANDIA;NORTE;100;ESF_EXCLUSIVA;,592486114376;3,66772698415;16943;4682,81996613338;28596,4507671951;3,61811902283954
